btc,nano,bnb,waves,eos
6236.65,0.4658,12.1888,0.8144,2.1996
5881.42,0.4353,11.3008,0.771,2.1133
6394.38,0.46,12.1365,0.8262,2.2269
6410.44,0.4694,12.5451,0.99,2.2086
6642.92,0.4927,12.72,0.9698,2.2549
6794.09,0.5363,13.0166,0.9615,2.2895
6734.1,0.5459,13.3615,0.9629,2.3325
6856.99,0.6401,13.7606,0.9505,2.3559
6772.78,0.5974,13.6888,0.9486,2.3505
7329.9,0.6183,15.1989,0.9867,2.7586
7197.32,0.5981,14.7266,0.9928,2.6332
7361.28,0.5987,15.0888,1.0067,2.7486
7283.54,0.5855,15.0096,1.0458,2.7239
6858.92,0.5449,13.72,0.9998,2.4916
6876.83,0.5405,13.807,0.9912,2.5083
6903.79,0.536,14.2808,0.9965,2.498
6837.91,0.541,15.0277,0.9991,2.4424
6868.7,0.5567,15.6148,0.9899,2.4655
6621.24,0.525,14.5755,0.959,2.4015
7101.94,0.5577,15.7394,1.0056,2.6569
7027.55,0.562,15.64,0.9975,2.6129
7248.6,0.5916,16.6137,1.0411,2.7265
7120.74,0.5791,16.0683,1.0138,2.598
6826.83,0.5444,14.9892,0.9731,2.5077
6841.37,0.5379,15.1283,0.9639,2.5211
7125.14,0.5646,15.7104,0.998,2.6224
7482.39,0.5735,16.034,1.0074,2.6811
7505.0,0.585,15.9319,1.0107,2.7068
7538.67,0.5863,16.2283,1.0221,2.7024
7693.1,0.6025,16.3588,1.0522,2.7375
7774.62,0.5925,16.4229,1.055,2.743
7738.98,0.5978,16.34,1.0534,2.7614
8778.57,0.6347,17.3667,1.099,3.0059
8620.0,0.6242,16.9542,1.0552,2.822
8826.96,0.6298,17.466,1.0751,2.8731
8972.05,0.6393,17.5333,1.0884,2.9396
8894.16,0.6467,17.1071,1.0624,2.8387
8871.96,0.638,17.0074,1.06,2.7687
9021.83,0.6294,16.8886,1.0517,2.7706
9142.92,0.6118,16.3743,1.024,2.6522
9986.4,0.6351,17.0003,1.0444,2.7572
9800.01,0.7019,17.1371,1.0551,2.7518
9539.4,0.6556,16.7751,1.0406,2.7516
8722.77,0.6057,15.3506,0.9552,2.4434
8561.52,0.5943,15.0811,0.931,2.3978
8810.79,0.6263,15.7892,1.0699,2.441
9309.37,0.6973,16.2164,1.06,2.5245
9791.98,0.6965,16.3777,1.0461,2.6228
9316.42,0.7204,15.7222,1.0298,2.5855
9381.27,0.7487,16.058,1.0299,2.6361
9680.04,0.7316,16.2959,1.0497,2.6205
9733.93,0.8041,16.6299,1.0638,2.6653
9775.53,0.9086,17.2098,1.0615,2.6543
9511.43,0.894,16.8998,1.0542,2.597
9068.65,0.8212,16.0888,1.0167,2.4621
9170.0,0.9542,16.5864,1.0665,2.5948
9179.15,0.9478,16.48,1.0699,2.5631
8720.34,0.8815,15.9624,1.0117,2.4879
8900.35,0.9398,16.3807,1.0576,2.5296
8841.18,0.8936,16.2159,1.0645,2.5034
9204.07,0.9106,16.47,1.0653,2.5715
9575.89,0.9001,17.0772,1.087,2.612
9427.07,0.8922,17.0031,1.0859,2.6144
9697.72,0.8984,17.7277,1.1137,2.7715
9448.27,0.8728,17.0916,1.0945,2.6731
10200.77,0.9149,17.9477,1.1485,2.8214
9518.04,0.8845,17.2669,1.118,2.6756
9666.24,0.889,17.5779,1.1176,2.6958
9789.06,0.8971,17.517,1.1256,2.7203
9621.16,0.9572,17.6914,1.1305,2.8143
9666.3,1.0106,17.5511,1.1487,2.7982
9746.99,1.0564,17.4135,1.1443,2.8098
9782.01,1.0459,17.4489,1.1852,2.7878
9772.43,1.1966,17.3733,1.1721,2.7505
9885.0,1.1782,17.406,1.2423,2.7568
9280.4,1.05,16.2298,1.1335,2.5146
9465.13,1.1082,16.6377,1.2103,2.597
9473.34,1.1349,16.8101,1.2489,2.6042
9342.1,1.0471,16.5729,1.1748,2.5681
9426.02,1.1073,16.377,1.1659,2.532
9525.59,1.1217,16.4329,1.2563,2.5539
9465.14,1.225,16.3983,1.2609,2.5678
9386.32,1.1575,16.1608,1.2375,2.5364
9310.23,1.1512,15.9512,1.2151,2.5254
9358.95,1.1199,16.059,1.2023,2.5362
9294.69,1.0772,15.9775,1.1997,2.514
9685.69,1.1426,16.5051,1.2258,2.5862
9624.89,1.1151,16.3898,1.239,2.5714
9296.49,1.0587,15.9968,1.1849,2.502
9249.49,1.0791,15.906,1.1848,2.4799
9162.21,1.0411,15.7694,1.1542,2.481
9012.0,0.9565,15.1242,1.1133,2.3318
9116.35,0.9716,15.3782,1.1339,2.3668
9192.56,0.9628,15.4656,1.141,2.38
9138.55,0.9365,15.3838,1.12,2.368
9232.0,0.9665,15.8144,1.1515,2.3773
9086.54,0.9229,15.3634,1.1258,2.3576
9058.26,0.9292,15.2863,1.121,2.4156
9135.46,0.961,15.5548,1.1305,2.4599
9069.41,0.9287,15.4885,1.116,2.4072
9344.2,0.9746,16.311,1.1597,2.6106
9257.39,0.9975,16.8048,1.1672,2.5589
9436.06,1.0776,17.2819,1.2117,2.6799
9232.43,1.0343,16.8274,1.1704,2.6504
9288.34,1.0074,17.3123,1.1585,2.6221
9234.03,1.0146,17.6205,1.2008,2.6194
9302.75,1.0461,18.2994,1.2111,2.6171
9242.62,0.9919,18.4046,1.1835,2.553
9255.85,0.9994,18.079,1.3189,2.5592
9197.6,1.0417,17.6351,1.3215,2.5365
9133.72,0.9826,17.1647,1.3487,2.4999
9154.32,0.9878,17.0676,1.4601,2.4949
9170.28,0.9905,17.1507,1.4689,2.5026
9208.99,1.0188,18.0154,1.4572,2.5845
9160.78,1.0165,17.4645,1.5996,2.5618
9390.0,1.0049,17.7285,1.6581,2.6232
9518.16,1.0414,18.09,1.6715,2.6574
9603.27,1.0152,18.75,1.588,2.6526
9537.8,0.9874,19.1853,1.5617,2.5949
9700.42,0.9949,19.8242,1.527,2.7289
9931.54,0.9571,19.5557,1.525,2.7121
11029.96,0.9271,19.7474,1.4734,2.8472
10906.27,0.949,20.1732,1.4994,2.9941
11100.53,0.9443,19.899,1.5003,3.0233
11099.61,0.9337,19.97,1.5293,3.047
11335.46,0.9323,20.6615,1.5206,3.0932
11801.17,0.9912,21.6168,1.5707,3.3038
11071.35,0.9779,20.9898,1.599,2.9441
11219.81,1.0152,22.0504,1.6956,3.0449
11191.97,1.0003,22.2818,1.6458,3.0363
11744.91,1.0171,23.2728,1.6475,3.0545
11762.46,1.0371,22.7487,1.711,3.089
11594.23,1.0199,22.3323,1.786,3.0104
11761.41,1.0429,22.9234,1.8258,3.0649
11681.68,1.0552,22.422,1.9479,3.0272
11892.92,1.1962,22.6369,1.9747,3.2365
11392.08,1.092,21.2902,1.8648,3.0048
11564.33,1.122,21.4919,2.1706,3.0253
11780.0,1.1511,21.7667,3.3267,3.1365
11760.54,1.1498,23.1047,3.4914,3.2606
11852.4,1.1121,23.0881,3.3895,3.7228
11911.0,1.1629,23.529,4.0341,3.88
12281.13,1.2354,23.4961,4.4095,3.7762
11945.01,1.3067,22.9705,4.1839,3.5744
11754.59,1.1784,22.3761,3.8151,3.3487
11853.55,1.2391,23.0888,3.8557,3.4429
11531.34,1.19,22.0988,3.2014,3.2528
11662.96,1.3813,22.2044,3.3831,3.362
11648.13,1.3054,21.8555,3.499,3.3212
11748.2,1.2918,22.5953,3.6478,3.3854
11318.42,1.1912,21.3882,3.227,3.1206
11461.43,1.2215,22.1999,3.2575,3.1179
11330.38,1.1481,23.1127,3.0972,2.979
11526.91,1.1666,23.0811,3.3697,3.1159
11465.84,1.16,22.9398,3.37,3.126
11711.16,1.1714,23.6208,3.3786,3.2614
11649.51,1.1371,23.1477,3.5954,3.2081
11921.97,1.124,24.7028,3.5345,3.4724
11388.54,1.0551,24.7652,3.2748,3.1016
10140.85,0.816,20.3592,2.4758,2.6133
10446.25,0.8801,20.9712,2.6204,2.9948
10166.69,0.8128,19.4698,2.3133,2.9387
10256.2,0.8398,23.142,2.471,2.9024
10373.44,0.8527,22.4426,2.3998,2.852
10126.65,0.8184,23.2837,2.32,2.7622
10219.2,0.8365,24.4716,2.3971,2.7514
10336.87,0.8681,24.5489,2.4337,2.7767
10387.89,0.889,25.399,2.5,2.7846
