S&P500,NASDAQ,Ibovespa,DAX30
2584.590087890625,7700.10009765625,73020.0,9935.83984375
2470.5,7360.580078125,70967.0,9544.75
2526.89990234375,7487.31005859375,72253.0,9570.8203125
2488.64990234375,7373.080078125,69538.0,9525.76953125
2663.679931640625,7913.240234375,74073.0,10075.169921875
2659.409912109375,7887.259765625,76358.0,10356.7001953125
2749.97998046875,8090.89990234375,78625.0,10332.8896484375
2789.820068359375,8153.580078125,77682.0,10564.740234375
2761.6298828125,8192.419921875,78836.0,
2846.06005859375,8515.740234375,79918.0,10696.5595703125
2783.360107421875,8393.1796875,78831.0,10279.759765625
2799.550048828125,8532.3603515625,77812.0,10301.5400390625
2874.56005859375,8650.1396484375,78990.0,10625.7802734375
2823.159912109375,8560.73046875,78973.0,10675.900390625
2736.56005859375,8263.23046875,,10249.849609375
2799.31005859375,8495.3798828125,80687.0,10415.0302734375
2797.800048828125,8494.75,79673.0,10513.7900390625
2836.739990234375,8634.51953125,75331.0,10336.08984375
2878.47998046875,8730.16015625,78239.0,10659.990234375
2863.389892578125,8607.73046875,81312.0,10795.6298828125
2939.510009765625,8914.7099609375,83171.0,11107.740234375
2912.429931640625,8889.5498046875,80506.0,10861.6396484375
2830.7099609375,8604.9501953125,,
2842.739990234375,8710.7099609375,78876.0,10466.7998046875
2868.43994140625,8809.1201171875,79471.0,10729.4599609375
2848.419921875,8854.3896484375,79064.0,10606.2001953125
2881.18994140625,8979.66015625,78119.0,10759.26953125
2929.800048828125,9121.3203125,80263.0,10904.48046875
2930.18994140625,9192.33984375,79065.0,10824.990234375
2870.1201171875,9002.5498046875,77872.0,10819.5
2820.0,8863.169921875,77772.0,10542.66015625
2852.5,8943.7197265625,79011.0,10337.01953125
2863.699951171875,9014.5595703125,77557.0,10465.169921875
2953.909912109375,9234.830078125,81194.0,11058.8701171875
2922.93994140625,9185.099609375,80742.0,11075.2900390625
2971.610107421875,9375.7802734375,81319.0,11223.7099609375
2948.510009765625,9284.8798828125,83027.0,11065.9296875
2955.449951171875,9324.58984375,82173.0,11073.8701171875
2991.77001953125,9340.2197265625,85469.0,11504.650390625
3036.1298828125,9412.3603515625,87946.0,11657.6904296875
3029.72998046875,9368.990234375,86949.0,11781.1298828125
3044.31005859375,9489.8701171875,87403.0,11586.849609375
3055.72998046875,9552.0498046875,88620.0,
3080.820068359375,9608.3798828125,91046.0,12021.2802734375
3122.8701171875,9682.91015625,93002.0,12487.3603515625
3112.35009765625,9615.8095703125,93829.0,12430.5595703125
3193.929931640625,9814.080078125,94637.0,12847.6796875
3232.389892578125,9924.75,97645.0,12819.58984375
3207.179931640625,9953.75,96747.0,12617.990234375
3190.139892578125,10020.349609375,94686.0,12530.16015625
3002.10009765625,9492.73046875,,11970.2900390625
3041.31005859375,9588.8095703125,92795.0,11949.2802734375
3066.590087890625,9726.01953125,92376.0,11911.349609375
3124.739990234375,9895.8701171875,93531.0,12315.66015625
3113.489990234375,9910.5302734375,95547.0,12382.1396484375
3115.340087890625,9943.0498046875,96125.0,12281.5302734375
3097.739990234375,9946.1201171875,96572.0,12330.759765625
3117.860107421875,10056.48046875,95336.0,12262.9697265625
3131.2900390625,10131.3701171875,95975.0,12523.759765625
3050.330078125,9909.169921875,94377.0,12093.9404296875
3083.760009765625,10017.0,95983.0,12177.8701171875
3009.050048828125,9757.2197265625,93834.0,12089.3896484375
3053.239990234375,9874.150390625,95735.0,12232.1201171875
3100.2900390625,10058.76953125,95056.0,12310.9296875
3115.860107421875,10154.6298828125,96203.0,12260.5703125
3130.010009765625,10207.6298828125,96235.0,12608.4599609375
3179.719970703125,10433.650390625,98937.0,12733.4501953125
